"","V237","V10","V253","V22","V11","V46","V68"
"525","43","Quite happy","Tenth step","9","Good","8","7"
"526","40","Quite happy","Nineth step","9","Very good","9","8"
"527","36","Quite happy","Tenth step","9","Fair","6","8"
"528","65","Very happy","second step","Satisfied","Good","9","8"
"530","70","Not at all happy","Third step","Satisfied","Fair","A great deal","Satisfied"
"531","72","Quite happy","second step","Satisfied","Fair","None at all","9"
"532","65","Quite happy","Eigth step","9","Very good","8","9"
"533","71","Not at all happy","Third step","8","Fair","7","8"
"534","78","Very happy","Eigth step","9","Good","7","8"
"536","78","Not very happy","Lower step","4","Fair","5","Satisfied"
"537","75","Quite happy","Sixth step","8","Poor","8","8"
"539","18","Very happy","Eigth step","Satisfied","Very good","9","8"
"540","24","Very happy","Eigth step","8","Fair","A great deal","4"
"541","25","Quite happy","Fifth step","8","Very good","8","5"
"542","31","Very happy","Eigth step","9","Good","2","9"
"543","55","Not very happy","Tenth step","6","Good","7","6"
"544","72","Quite happy","second step","8","Fair","5","7"
"545","73","Very happy","Fifth step","9","Fair","6","8"
"546","68","Very happy","second step","8","Fair","7","9"
"547","23","Quite happy","Tenth step","9","Very good","8","Satisfied"
"548","44","Quite happy","Tenth step","5","Good","7","5"
"549","62","Very happy","second step","9","Good","5","7"
"550","51","Very happy","Sixth step","Satisfied","Very good","2","Satisfied"
"551","43","Quite happy","Eigth step","9","Fair","2","Satisfied"
"552","42","Quite happy","Eigth step","7","Fair","7","2"
"553","52","Very happy","Eigth step","9","Good","7","9"
"554","62","Quite happy","Third step","9","Fair","9","8"
"555","61","Not very happy","Fifth step","4","Poor","3","3"
"556","41","Very happy","Lower step","8","Very good","9","5"
"557","35","Very happy","Fifth step","9","Very good","5","6"
"558","39","Quite happy","Tenth step","9","Good","8","6"
"559","34","Quite happy","Tenth step","8","Good","7","5"
"560","49","Quite happy","Nineth step","7","Good","8","5"
"561","74","Very happy","second step","8","Fair","6","7"
"562","69","Not at all happy","second step","5","Good","9","6"
"563","53","Very happy","Tenth step","9","Fair","8","6"
"564","51","Quite happy","Tenth step","9","Good","3","3"
"565","32","Very happy","Nineth step","9","Good","6","9"
"566","36","Quite happy","Sixth step","Satisfied","Very good","None at all","Satisfied"
"567","40","Quite happy","Nineth step","Satisfied","Good","9","8"
"568","38","Very happy","Tenth step","9","Very good","9","9"
"569","54","Quite happy","Nineth step","6","Fair","7","5"
"570","35","Quite happy","Tenth step","8","Very good","6","8"
"571","22","Quite happy","Nineth step","9","Good","9","9"
"572","37","Very happy","Tenth step","9","Good","8","8"
"574","36","Quite happy","Nineth step","8","Fair","4","2"
"575","26","Very happy","Eigth step","9","Very good","5","3"
"576","61","Quite happy","Nineth step","Satisfied","Good","9","Satisfied"
"577","43","Very happy","Nineth step","Satisfied","Fair","A great deal","8"
"578","40","Quite happy","Tenth step","9","Very good","9","7"
"579","33","Quite happy","Tenth step","9","Good","9","6"
"580","39","Quite happy","Nineth step","7","Good","8","7"
"581","40","Quite happy","Tenth step","4","Fair","5","9"
"582","40","Quite happy","Fifth step","Satisfied","Good","A great deal","8"
"583","33","Very happy","Tenth step","8","Very good","7","7"
"584","37","Quite happy","Tenth step","9","Very good","9","9"
"585","33","Very happy","Tenth step","Satisfied","Very good","A great deal","9"
"586","37","Quite happy","Nineth step","Satisfied","Good","9","9"
"587","46","Very happy","Seventh step","Satisfied","Good","A great deal","Satisfied"
"588","24","Quite happy","Eigth step","8","Very good","9","6"
"592","62","Quite happy","Fifth step","8","Good","9","8"
"594","29","Quite happy","Fourth step","Satisfied","Good","A great deal","8"
"595","29","Very happy","second step","8","Good","7","4"
"599","42","Quite happy","Third step","7","Good","4","5"
"600","64","Quite happy","Lower step","9","Good","7","8"
"601","28","Quite happy","second step","9","Very good","A great deal","8"
"603","52","Quite happy","second step","8","Good","A great deal","5"
"604","28","Very happy","Sixth step","9","Very good","8","8"
"605","41","Not very happy","Third step","Dissatisfied","Very good","6","7"
"606","60","Quite happy","second step","8","Very good","7","7"
"607","32","Quite happy","Fourth step","8","Good","8","3"
"608","82","Quite happy","Lower step","7","Fair","7","8"
"609","73","Very happy","Third step","Satisfied","Fair","9","Satisfied"
"610","73","Quite happy","Third step","8","Good","9","9"
"611","58","Quite happy","second step","8","Good","A great deal","8"
"612","27","Not very happy","Sixth step","6","Very good","A great deal","7"
"613","33","Very happy","Fifth step","8","Good","7","6"
"614","73","Not very happy","second step","4","Fair","9","8"
"615","18","Quite happy","Sixth step","8","Very good","8","7"
"616","55","Quite happy","Fourth step","6","Very good","7","5"
"618","25","Not very happy","Third step","4","Very good","A great deal","3"
"619","26","Very happy","Third step","7","Very good","A great deal","4"
"620","73","Quite happy","Third step","5","Very poor","5","8"
"621","26","Quite happy","Seventh step","7","Good","8","6"
"622","83","Very happy","Fifth step","Satisfied","Fair","A great deal","9"
"623","33","Quite happy","Nineth step","7","Good","7","8"
"624","24","Quite happy","Fourth step","8","Good","9","7"
"625","26","Quite happy","Fourth step","7","Good","9","5"
"626","31","Very happy","Fifth step","8","Good","8","5"
"627","63","Quite happy","Lower step","8","Poor","8","4"
"628","33","Very happy","Sixth step","8","Fair","7","7"
"630","49","Quite happy","Fourth step","7","Good","7","6"
"632","19","Very happy","Third step","9","Very good","7","8"
"633","50","Quite happy","Fourth step","8","Very good","9","Dissatisfied"
"634","36","Quite happy","Eigth step","6","Fair","6","4"
"635","36","Quite happy","Third step","4","Fair","5","Dissatisfied"
"636","72","Quite happy","Third step","7","Fair","6","9"
"637","72","Quite happy","second step","7","Good","A great deal","8"
"638","38","Quite happy","Eigth step","5","Fair","6","5"
"639","18","Quite happy","Fifth step","9","Very good","9","8"
"640","72","Quite happy","Third step","Satisfied","Good","A great deal","7"
"641","28","Quite happy","Lower step","7","Very good","7","4"
"642","22","Quite happy","Lower step","6","Fair","6","4"
"643","21","Quite happy","Third step","8","Very good","8","7"
"644","44","Very happy","Fifth step","Satisfied","Good","A great deal","Satisfied"
"645","25","Quite happy","Sixth step","8","Very good","A great deal","5"
"646","38","Quite happy","Lower step","7","Fair","5","6"
"647","41","Very happy","Tenth step","Satisfied","Very good","A great deal","Satisfied"
"648","52","Quite happy","Fifth step","5","Fair","5","3"
"650","21","Very happy","Sixth step","8","Good","9","Satisfied"
"651","32","Quite happy","Sixth step","8","Very good","9","6"
"652","21","Quite happy","Lower step","8","Very good","8","6"
"653","47","Not very happy","Fourth step","8","Good","8","9"
"654","39","Very happy","Fifth step","9","Good","9","9"
"655","40","Not very happy","Fifth step","2","Poor","3","Dissatisfied"
"656","44","Quite happy","second step","7","Good","A great deal","7"
"657","33","Quite happy","Lower step","3","Good","8","Dissatisfied"
"658","46","Quite happy","Tenth step","6","Good","8","6"
"659","70","Very happy","second step","6","Fair","5","8"
"660","23","Quite happy","Lower step","8","Good","9","8"
"661","23","Quite happy","Seventh step","7","Very good","9","8"
"662","69","Very happy","Seventh step","Satisfied","Good","8","9"
"663","40","Quite happy","Lower step","8","Good","7","2"
"664","67","Very happy","Sixth step","8","Good","A great deal","8"
"665","21","Quite happy","Lower step","8","Very good","8","6"
"666","34","Quite happy","Fourth step","8","Good","8","4"
"668","18","Quite happy","Lower step","4","Good","5","Dissatisfied"
"669","26","Quite happy","Third step","9","Fair","9","8"
"670","24","Quite happy","Lower step","8","Very good","4","4"
"671","38","Quite happy","Sixth step","5","Good","7","5"
"672","21","Very happy","Lower step","8","Good","9","Dissatisfied"
"673","49","Not very happy","Fifth step","7","Good","8","5"
"674","35","Quite happy","Sixth step","8","Good","9","8"
"675","34","Quite happy","Seventh step","9","Very good","A great deal","9"
"676","26","Quite happy","Lower step","9","Very good","7","8"
"677","24","Quite happy","Third step","9","Good","7","8"
"678","25","Quite happy","Seventh step","8","Very good","7","7"
"679","29","Very happy","Nineth step","9","Good","8","8"
"680","33","Very happy","Third step","Satisfied","Good","8","5"
"681","75","Quite happy","Fourth step","7","Poor","A great deal","9"
"682","23","Quite happy","second step","8","Very good","8","2"
"683","41","Not very happy","Fourth step","5","Fair","9","2"
"684","42","Quite happy","second step","6","Fair","8","4"
"685","25","Very happy","second step","9","Good","9","7"
"686","30","Quite happy","Fourth step","8","Very good","8","4"
"687","35","Quite happy","Eigth step","7","Good","8","7"
"688","20","Quite happy","second step","7","Very good","8","4"
"689","40","Quite happy","Lower step","7","Very good","8","Dissatisfied"
"690","47","Very happy","Fifth step","9","Very good","A great deal","9"
"691","33","Quite happy","Fourth step","8","Good","8","9"
"692","35","Quite happy","Fifth step","9","Fair","8","8"
"693","35","Not very happy","Lower step","5","Good","A great deal","Dissatisfied"
"694","53","Quite happy","Tenth step","9","Good","7","7"
"695","27","Quite happy","Third step","7","Very good","9","4"
"696","50","Very happy","Tenth step","9","Very good","9","8"
"697","62","Quite happy","second step","8","Good","7","7"
"698","39","Quite happy","Fourth step","8","Very good","8","3"
"699","26","Quite happy","Third step","8","Good","9","6"
"700","81","Quite happy","Fourth step","8","Good","9","8"
"701","48","Quite happy","Lower step","7","Fair","5","5"
"702","20","Quite happy","Eigth step","6","Poor","8","6"
"703","21","Quite happy","Fourth step","8","Good","8","8"
"704","64","Quite happy","Third step","7","Fair","9","6"
"705","70","Not very happy","second step","6","Fair","7","5"
"706","60","Very happy","Third step","7","Fair","6","7"
"707","18","Very happy","Fifth step","9","Very good","9","8"
"708","40","Quite happy","Third step","8","Very good","8","4"
"709","28","Not very happy","Lower step","6","Fair","7","Dissatisfied"
"710","62","Quite happy","Fourth step","7","Good","6","6"
"711","57","Quite happy","Seventh step","7","Fair","8","7"
"712","49","Quite happy","Eigth step","8","Good","7","8"
"713","23","Quite happy","second step","6","Very good","5","5"
"714","45","Very happy","Tenth step","9","Good","8","9"
"715","52","Not very happy","Third step","Dissatisfied","Very poor","None at all","Dissatisfied"
"716","24","Very happy","second step","8","Very good","9","4"
"718","33","Quite happy","second step","Satisfied","Good","8","6"
"720","31","Very happy","Sixth step","9","Good","8","7"
"721","26","Quite happy","Sixth step","7","Good","6","3"
"722","34","Quite happy","Third step","8","Very good","9","Dissatisfied"
"723","44","Quite happy","Nineth step","8","Good","8","4"
"724","21","Very happy","Lower step","8","Good","8","6"
"725","66","Quite happy","Fifth step","8","Fair","6","8"
"727","39","Quite happy","Seventh step","8","Good","8","7"
"728","70","Quite happy","Lower step","9","Fair","5","8"
"729","32","Quite happy","second step","8","Good","6","7"
"730","39","Quite happy","Fourth step","8","Fair","9","8"
"731","61","Not very happy","second step","6","Poor","6","5"
"732","37","Quite happy","Lower step","7","Good","8","2"
"734","23","Quite happy","Lower step","7","Good","6","3"
"735","27","Quite happy","second step","7","Very good","3","7"
"736","43","Quite happy","Fourth step","7","Fair","8","8"
"737","32","Very happy","Eigth step","9","Good","6","8"
"738","31","Very happy","Fifth step","Satisfied","Very good","A great deal","9"
"739","24","Quite happy","Lower step","8","Very good","7","6"
"740","37","Quite happy","Seventh step","8","Good","7","7"
"741","21","Quite happy","Eigth step","8","Good","7","8"
"742","27","Quite happy","Third step","8","Good","8","4"
"743","28","Quite happy","Third step","9","Good","6","3"
"744","22","Very happy","Lower step","8","Very good","9","2"
"745","37","Quite happy","Sixth step","8","Good","8","5"
"747","20","Very happy","Lower step","9","Very good","8","Dissatisfied"
"748","48","Quite happy","Third step","8","Good","7","7"
"749","31","Quite happy","Fourth step","8","Very good","9","7"
"750","49","Quite happy","Seventh step","8","Very good","9","4"
"751","51","Quite happy","Fifth step","7","Fair","6","5"
"752","23","Quite happy","Fourth step","8","Very good","9","7"
"753","38","Very happy","Seventh step","Satisfied","Very good","7","8"
"754","32","Quite happy","second step","8","Good","8","7"
"755","32","Quite happy","Fourth step","8","Good","8","4"
"756","31","Quite happy","Fourth step","8","Fair","9","7"
"757","47","Quite happy","Lower step","9","Very good","A great deal","7"
"758","46","Quite happy","Nineth step","8","Good","8","8"
"759","50","Quite happy","Third step","6","Good","7","5"
"760","63","Not very happy","second step","4","Very poor","4","4"
"762","61","Quite happy","second step","6","Fair","9","9"
"763","22","Quite happy","Lower step","9","Good","9","6"
"764","63","Not very happy","second step","4","Poor","5","4"
"765","33","Very happy","Third step","7","Very good","6","7"
"766","52","Quite happy","Lower step","7","Good","6","7"
"767","29","Quite happy","Sixth step","7","Good","9","7"
"768","50","Quite happy","Fourth step","8","Fair","A great deal","8"
"769","36","Not at all happy","Lower step","4","Poor","3","3"
"770","40","Quite happy","second step","7","Very good","8","5"
"771","49","Quite happy","Fifth step","8","Very good","A great deal","7"
"772","60","Quite happy","Fourth step","8","Fair","8","8"
"773","44","Quite happy","Third step","7","Fair","7","3"
"774","22","Very happy","second step","9","Good","4","5"
"775","56","Not very happy","Seventh step","4","Poor","4","4"
"776","63","Quite happy","second step","5","Fair","8","5"
"777","48","Not at all happy","Third step","3","Fair","7","3"
"778","20","Quite happy","Lower step","5","Good","7","7"
"779","35","Not very happy","Lower step","5","Poor","7","4"
"780","18","Quite happy","Fourth step","9","Very good","9","9"
"781","45","Quite happy","Fifth step","7","Good","4","7"
"782","24","Quite happy","second step","5","Good","6","4"
"784","29","Very happy","Third step","9","Very good","9","8"
"785","68","Quite happy","Lower step","8","Fair","7","6"
"786","26","Quite happy","Lower step","4","Good","7","4"
"787","67","Very happy","Tenth step","9","Good","8","7"
"788","31","Quite happy","Fourth step","7","Very good","8","6"
"789","58","Not at all happy","Seventh step","3","Good","9","8"
"790","59","Quite happy","Fourth step","8","Poor","6","7"
"791","21","Very happy","Fifth step","9","Very good","8","7"
"792","36","Quite happy","Fifth step","8","Good","7","7"
"793","30","Quite happy","Third step","8","Good","5","2"
"794","26","Quite happy","Third step","9","Good","9","7"
"795","47","Not very happy","second step","5","Good","8","4"
"796","51","Quite happy","Sixth step","7","Good","8","7"
"797","49","Quite happy","Fourth step","9","Good","A great deal","5"
"798","42","Quite happy","Fourth step","9","Good","9","7"
"799","47","Quite happy","Fourth step","8","Very good","8","5"
"800","35","Quite happy","Seventh step","8","Very good","9","8"
"801","44","Very happy","Fifth step","8","Fair","7","6"
"802","36","Not at all happy","Lower step","5","Poor","3","6"
"803","18","Quite happy","Nineth step","6","Very good","5","8"
"804","35","Quite happy","Fourth step","8","Good","6","6"
"805","43","Quite happy","Eigth step","9","Fair","9","9"
"806","41","Quite happy","Seventh step","8","Good","7","8"
"807","28","Quite happy","Fourth step","7","Good","6","5"
"808","26","Quite happy","Fourth step","8","Very good","8","8"
"809","30","Quite happy","Fourth step","8","Fair","8","7"
"810","50","Quite happy","Fifth step","Satisfied","Very good","A great deal","8"
"811","21","Very happy","Lower step","9","Very good","9","6"
"812","30","Quite happy","Seventh step","8","Very good","7","7"
"813","52","Quite happy","Eigth step","Dissatisfied","Very poor","5","8"
"814","24","Quite happy","Fourth step","8","Good","8","7"
"815","31","Quite happy","Nineth step","8","Good","8","8"
"816","26","Quite happy","Sixth step","8","Good","A great deal","9"
"817","26","Quite happy","Fourth step","7","Good","A great deal","5"
"818","25","Quite happy","second step","8","Very good","7","6"
"819","24","Quite happy","second step","8","Very good","8","7"
"820","34","Quite happy","Fifth step","8","Good","8","3"
"821","52","Quite happy","Fourth step","9","Very good","8","8"
"822","39","Quite happy","Sixth step","8","Fair","7","8"
"823","48","Quite happy","Lower step","5","Good","7","Dissatisfied"
"824","36","Quite happy","Seventh step","8","Very good","8","7"
"825","42","Quite happy","Fifth step","5","Very good","7","3"
"826","22","Very happy","Lower step","7","Good","8","4"
"827","25","Quite happy","Fourth step","6","Very good","6","4"
"828","31","Quite happy","second step","8","Good","7","8"
"829","32","Very happy","Fifth step","9","Good","9","3"
"830","35","Not very happy","Third step","4","Good","8","8"
"831","22","Quite happy","Third step","9","Very good","8","7"
"832","20","Very happy","Lower step","9","Very good","A great deal","Dissatisfied"
"833","57","Very happy","Seventh step","9","Good","7","8"
"834","46","Very happy","Nineth step","9","Very good","8","8"
"835","25","Quite happy","Fourth step","8","Fair","9","2"
"836","30","Quite happy","Lower step","7","Good","8","4"
"837","48","Quite happy","Seventh step","4","Good","4","6"
"838","35","Quite happy","Fourth step","8","Good","7","7"
"839","65","Not very happy","second step","8","Fair","9","9"
"840","75","Quite happy","Third step","8","Very good","8","Satisfied"
"841","61","Quite happy","Lower step","8","Good","8","8"
"842","32","Quite happy","Third step","5","Good","9","3"
"843","27","Very happy","Fourth step","8","Very good","8","7"
"844","34","Quite happy","Fourth step","8","Good","5","8"
"845","46","Very happy","Lower step","8","Good","5","5"
"846","18","Quite happy","second step","9","Very good","8","8"
"847","35","Quite happy","second step","6","Good","4","6"
"848","22","Quite happy","Third step","9","Fair","9","7"
"849","24","Very happy","Third step","9","Very good","9","3"
"850","26","Very happy","Fifth step","Satisfied","Very good","8","Satisfied"
"851","29","Quite happy","second step","9","Very good","A great deal","8"
"852","27","Quite happy","Third step","9","Very good","9","7"
"853","21","Very happy","Third step","7","Fair","A great deal","6"
"855","21","Not very happy","Lower step","6","Fair","7","7"
"857","24","Very happy","Fourth step","9","Good","A great deal","8"
"858","35","Quite happy","Third step","5","Good","4","6"
"859","38","Not very happy","Third step","4","Poor","4","5"
"860","27","Quite happy","second step","6","Very good","6","8"
"861","61","Quite happy","second step","6","Good","4","6"
"862","19","Quite happy","Third step","5","Good","3","5"
"864","62","Very happy","second step","8","Good","A great deal","2"
"865","35","Very happy","Fifth step","8","Fair","6","8"
"866","46","Quite happy","Fifth step","7","Poor","8","5"
"867","34","Very happy","Seventh step","9","Very good","8","8"
"868","29","Quite happy","Sixth step","6","Very good","7","5"
"869","55","Quite happy","Nineth step","7","Good","A great deal","5"
"870","66","Quite happy","second step","9","Fair","7","6"
"871","32","Quite happy","second step","7","Very good","9","7"
"872","22","Very happy","Lower step","Satisfied","Very good","A great deal","5"
"873","64","Very happy","Eigth step","8","Very good","4","8"
"874","55","Quite happy","Fourth step","8","Very good","6","8"
"875","21","Quite happy","Lower step","7","Good","9","7"
"876","23","Quite happy","Fifth step","8","Very good","8","3"
"877","23","Quite happy","second step","8","Very good","7","5"
"878","24","Quite happy","second step","8","Good","7","7"
"879","18","Quite happy","Lower step","5","Very good","7","Dissatisfied"
"880","30","Very happy","Fourth step","9","Very good","8","4"
"881","30","Quite happy","Fourth step","7","Good","8","4"
"882","50","Very happy","Seventh step","9","Good","9","8"
"883","21","Quite happy","Lower step","8","Good","7","3"
"884","39","Quite happy","Lower step","7","Very good","7","7"
"885","19","Very happy","Sixth step","9","Very good","9","8"
"886","28","Quite happy","second step","9","Good","8","7"
"887","32","Quite happy","Fourth step","8","Good","A great deal","5"
"888","28","Quite happy","Fourth step","7","Good","8","8"
"889","39","Quite happy","second step","7","Good","9","7"
"890","63","Quite happy","Lower step","6","Fair","6","6"
"892","45","Not very happy","Third step","4","Good","None at all","Dissatisfied"
"893","43","Quite happy","Seventh step","7","Poor","7","8"
"894","66","Not very happy","second step","5","Fair","5","2"
"895","18","Very happy","Lower step","9","Good","9","8"
"896","25","Quite happy","Lower step","8","Very good","8","4"
"897","27","Quite happy","Seventh step","9","Very good","8","9"
"899","44","Quite happy","Fourth step","7","Good","7","6"
"900","43","Quite happy","Nineth step","8","Good","8","Satisfied"
"901","20","Quite happy","Lower step","7","Good","3","4"
"902","45","Very happy","Lower step","7","Poor","9","6"
"904","46","Quite happy","Lower step","5","Very good","5","5"
"905","45","Quite happy","Third step","7","Fair","8","9"
"906","20","Quite happy","Lower step","7","Good","8","6"
"908","44","Quite happy","Sixth step","7","Good","A great deal","7"
"909","40","Quite happy","Sixth step","9","Fair","8","8"
"911","23","Very happy","Tenth step","Satisfied","Good","9","9"
"912","48","Very happy","Lower step","Dissatisfied","Fair","5","Dissatisfied"
"913","55","Very happy","Fourth step","8","Very good","8","8"
"914","36","Very happy","Third step","8","Very good","8","7"
"915","50","Not very happy","Third step","5","Fair","7","7"
"916","21","Very happy","second step","9","Good","8","8"
"917","41","Quite happy","Eigth step","7","Very good","8","7"
"918","40","Very happy","Eigth step","8","Good","7","Satisfied"
"919","19","Very happy","Sixth step","Satisfied","Very good","9","9"
"920","35","Quite happy","Tenth step","9","Good","8","7"
"921","48","Very happy","Third step","5","Poor","5","5"
"923","26","Quite happy","Sixth step","6","Good","7","5"
"924","76","Quite happy","Lower step","6","Fair","6","6"
"925","64","Very happy","second step","9","Fair","5","8"
"926","69","Quite happy","second step","6","Poor","6","6"
"927","44","Quite happy","Lower step","7","Fair","5","Satisfied"
"928","16","Quite happy","Fifth step","8","Good","9","8"
"929","27","Very happy","Fifth step","Satisfied","Very good","8","8"
"930","23","Quite happy","Third step","7","Fair","7","6"
"931","68","Quite happy","Sixth step","8","Fair","8","8"
"932","67","Quite happy","second step","8","Fair","6","8"
"933","30","Quite happy","Eigth step","8","Very good","9","7"
"934","29","Quite happy","Fifth step","8","Good","A great deal","8"
"935","26","Quite happy","second step","7","Very good","7","7"
"936","32","Very happy","Nineth step","Satisfied","Very good","A great deal","Satisfied"
"937","61","Quite happy","Fifth step","7","Fair","8","7"
"938","70","Not very happy","second step","5","Very poor","7","5"
"939","30","Quite happy","Nineth step","Satisfied","Good","A great deal","8"
"940","38","Quite happy","Sixth step","8","Good","7","7"
"941","23","Quite happy","Third step","8","Good","9","5"
"942","22","Quite happy","Seventh step","8","Very good","8","6"
"943","29","Quite happy","Lower step","9","Very good","8","8"
"944","63","Not very happy","Seventh step","8","Fair","A great deal","8"
"945","64","Quite happy","Fourth step","7","Good","6","6"
"946","45","Quite happy","Eigth step","8","Fair","8","4"
"947","39","Quite happy","Fifth step","7","Good","6","7"
"948","37","Very happy","Nineth step","Satisfied","Very good","8","9"
"949","24","Quite happy","Third step","6","Good","4","5"
"950","49","Quite happy","Sixth step","6","Fair","8","6"
"951","18","Quite happy","Lower step","8","Good","9","7"
"952","30","Quite happy","Seventh step","7","Fair","8","3"
"955","40","Quite happy","Third step","8","Fair","8","7"
"956","50","Quite happy","Sixth step","7","Good","7","6"
"957","32","Very happy","Lower step","9","Very good","9","4"
"958","38","Quite happy","Fourth step","8","Very good","7","6"
"960","26","Quite happy","Lower step","8","Very good","9","8"
"961","19","Quite happy","second step","6","Very good","8","4"
"962","38","Quite happy","Fifth step","8","Good","8","8"
"963","46","Very happy","Sixth step","9","Good","8","9"
"964","57","Quite happy","Sixth step","7","Fair","6","5"
"965","75","Quite happy","second step","7","Poor","3","7"
"966","28","Quite happy","second step","7","Very good","6","4"
"967","69","Quite happy","Lower step","8","Good","7","3"
"968","45","Quite happy","Third step","7","Good","8","6"
"969","29","Quite happy","Lower step","4","Fair","4","3"
"970","44","Quite happy","Fifth step","7","Fair","A great deal","6"
"971","41","Quite happy","Sixth step","8","Good","9","8"
"972","22","Very happy","Fourth step","8","Good","9","8"
"973","68","Not very happy","second step","5","Fair","5","5"
"974","38","Very happy","Lower step","8","Very good","7","2"
"975","56","Quite happy","Third step","6","Fair","7","6"
"976","74","Quite happy","Lower step","Satisfied","Very good","A great deal","Satisfied"
"978","70","Very happy","second step","Satisfied","Fair","5","Satisfied"
"979","52","Quite happy","Fifth step","7","Very good","6","6"
"980","45","Quite happy","Sixth step","8","Fair","8","9"
"981","19","Not at all happy","second step","7","Fair","8","5"
"982","49","Quite happy","Third step","9","Good","9","5"
"985","40","Quite happy","Sixth step","6","Fair","7","5"
"986","81","Quite happy","Lower step","Satisfied","Fair","9","8"
"987","32","Quite happy","Nineth step","7","Very good","6","7"
"988","33","Quite happy","second step","9","Poor","A great deal","4"
"989","42","Not very happy","Third step","3","Very good","8","4"
"991","23","Very happy","Fourth step","9","Good","8","7"
"992","20","Quite happy","Lower step","8","Very good","9","4"
"993","33","Quite happy","second step","8","Poor","6","5"
"994","43","Quite happy","Sixth step","8","Good","7","5"
"995","27","Quite happy","Seventh step","8","Very good","6","6"
"996","61","Very happy","Third step","9","Fair","7","8"
"997","74","Quite happy","second step","8","Fair","7","9"
"998","28","Quite happy","Seventh step","8","Good","9","7"
"999","42","Quite happy","Fifth step","8","Good","8","8"
"1000","46","Quite happy","Nineth step","8","Good","8","8"
"1001","22","Very happy","second step","8","Very good","9","8"
"1002","66","Very happy","Fourth step","9","Very good","A great deal","9"
"1004","67","Quite happy","Lower step","6","Poor","None at all","7"
"1005","45","Quite happy","Lower step","8","Good","8","3"
"1006","55","Quite happy","Seventh step","7","Good","6","5"
"1007","50","Quite happy","Fifth step","8","Fair","8","7"
"1008","49","Quite happy","Seventh step","8","Good","7","8"
"1010","47","Quite happy","Lower step","6","Poor","9","Dissatisfied"
"1011","46","Quite happy","Third step","8","Fair","7","6"
"1012","44","Very happy","Sixth step","Satisfied","Very good","A great deal","9"
"1013","39","Not very happy","second step","5","Poor","7","4"
"1014","25","Very happy","Seventh step","8","Good","8","8"
"1015","22","Quite happy","Fifth step","7","Good","5","3"
"1016","37","Very happy","Nineth step","8","Very good","9","9"
"1017","42","Very happy","Seventh step","9","Good","8","7"
"1018","38","Quite happy","Fifth step","8","Fair","6","8"
"1019","40","Quite happy","Fifth step","8","Good","6","4"
"1020","19","Very happy","Lower step","8","Good","8","2"
"1021","46","Very happy","Sixth step","9","Very good","8","8"
"1022","18","Very happy","Fourth step","Satisfied","Good","9","9"
"1023","37","Very happy","Seventh step","8","Very good","A great deal","8"
"1024","20","Very happy","Fourth step","9","Very good","9","8"
"1025","28","Quite happy","second step","Satisfied","Very good","8","9"
"1026","32","Quite happy","Fifth step","9","Very good","8","3"
"1027","49","Quite happy","Sixth step","9","Good","8","8"
"1028","37","Quite happy","Fifth step","8","Very good","7","3"
"1029","33","Quite happy","Fourth step","9","Very good","7","6"
"1030","46","Quite happy","Fourth step","8","Good","7","8"
"1031","32","Quite happy","Sixth step","8","Good","8","7"
"1032","44","Very happy","Sixth step","Satisfied","Good","9","Satisfied"
"1033","36","Quite happy","Eigth step","8","Fair","9","9"
"1034","48","Quite happy","Nineth step","8","Good","7","6"
"1036","50","Quite happy","Fifth step","7","Good","6","5"
"1037","32","Quite happy","Fifth step","7","Very good","5","5"
"1038","25","Very happy","Third step","9","Very good","8","2"
"1039","23","Quite happy","Nineth step","8","Good","9","6"
"1041","35","Quite happy","Fifth step","8","Good","8","4"
"1042","54","Not very happy","Fourth step","4","Fair","4","7"
"1043","36","Quite happy","Sixth step","8","Good","8","8"
"1045","66","Very happy","Tenth step","9","Good","8","8"
"1046","46","Quite happy","Third step","8","Good","9","3"
"1047","48","Quite happy","Fifth step","9","Very good","9","9"
"1049","30","Quite happy","Fourth step","8","Good","7","5"
"1050","69","Not very happy","Lower step","5","Fair","7","8"
"1051","18","Quite happy","Fifth step","7","Good","6","7"
"1053","29","Very happy","Fourth step","Satisfied","Very good","A great deal","Satisfied"
"1054","54","Very happy","Eigth step","9","Very good","A great deal","9"
"1055","17","Quite happy","Sixth step","8","Very good","9","7"
"1056","28","Quite happy","second step","8","Good","8","7"
"1057","28","Quite happy","Fourth step","9","Good","8","9"
"1058","29","Quite happy","second step","7","Good","9","6"
"1059","71","Quite happy","Fifth step","8","Fair","7","7"
"1060","35","Quite happy","Eigth step","8","Good","7","6"
"1061","33","Quite happy","Fifth step","7","Good","A great deal","7"
"1063","47","Not at all happy","Lower step","7","Fair","5","6"
"1064","65","Quite happy","second step","6","Good","5","5"
"1065","18","Quite happy","Fourth step","7","Very good","9","5"
"1066","30","Very happy","Fifth step","9","Good","8","7"
"1067","65","Not very happy","Lower step","4","Poor","None at all","3"
"1068","19","Quite happy","Lower step","8","Very good","7","6"
"1070","79","Quite happy","second step","8","Fair","9","9"
"1071","35","Quite happy","second step","8","Good","4","5"
"1072","39","Quite happy","Fourth step","5","Fair","6","4"
"1073","70","Quite happy","second step","4","Fair","9","5"
"1074","41","Quite happy","Third step","7","Good","8","5"
"1075","40","Quite happy","Fifth step","8","Good","7","8"
"1076","27","Very happy","Fifth step","9","Very good","9","7"
